Track_Name,Artist_Name,Genre,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Track_192,Justin Bieber,Rock,0.86,0.33,-25.37,0.02,0.98,0.55,0.84,0.12,127
Track_193,Adele,Rock,0.26,0.39,-19.56,0.55,0.76,0.58,0.01,0.22,169
Track_194,Arijit Singh,Bollywood,0.38,0.77,-59.0,0.86,0.42,0.13,0.64,0.33,184
Track_195,Ed Sheeran,Rock,0.78,0.42,-39.66,0.47,0.0,0.46,0.39,0.22,200
Track_196,Adele,Rock,0.68,0.47,-12.26,0.0,0.31,0.27,0.3,0.39,116
Track_197,Taylor Swift,Bollywood,0.25,0.56,-55.35,0.01,0.53,0.84,0.66,0.56,114
Track_198,Atif Aslam,Classical,0.9,0.93,-43.06,0.42,0.32,0.31,0.83,0.68,141
Track_199,Shreya Ghoshal,Pop,0.9,0.35,-24.88,0.16,0.11,0.84,0.56,0.96,166
Track_200,Ed Sheeran,Hip-Hop,0.46,0.2,-44.62,0.66,0.44,0.43,0.03,0.93,161
Track_201,Ed Sheeran,Jazz,0.47,0.25,-3.96,0.71,0.25,0.73,0.46,0.57,170
Track_202,Arijit Singh,Hip-Hop,0.99,0.92,-52.14,0.18,0.91,0.51,0.46,0.73,166
Track_203,The Weeknd,Hip-Hop,0.7,0.72,-12.16,0.89,0.1,0.62,0.54,0.95,161
Track_204,Ed Sheeran,Electronic,0.63,0.42,-29.52,0.44,0.05,0.4,0.67,0.08,62
Track_205,Neha Kakkar,Pop,0.87,0.34,-14.98,0.14,0.01,0.77,0.02,0.01,84
Track_206,Atif Aslam,Electronic,0.43,0.44,-41.36,0.76,0.33,0.43,0.5,0.03,134
Track_207,Atif Aslam,Pop,0.54,0.29,-29.13,0.79,0.66,0.46,0.59,0.56,120
Track_208,Neha Kakkar,Bollywood,0.41,0.95,-8.59,0.64,0.73,0.52,0.34,0.76,182
Track_209,Imagine Dragons,Bollywood,0.83,0.83,-31.99,0.85,0.45,0.83,0.67,0.37,114
Track_210,Neha Kakkar,Pop,0.66,0.57,-38.42,0.74,0.68,0.66,0.23,0.55,98
Track_211,Neha Kakkar,Rock,0.73,0.89,-27.83,0.88,0.36,0.35,0.32,0.52,142
Track_212,Atif Aslam,Classical,0.4,0.4,-16.96,0.43,0.67,0.67,0.96,0.09,93
Track_213,Justin Bieber,Rock,0.38,0.77,-33.39,0.75,0.04,0.64,0.35,0.32,172
Track_214,Atif Aslam,Classical,0.59,0.88,-3.67,1.0,0.39,0.93,0.35,0.02,86
Track_215,The Weeknd,Electronic,0.79,0.49,-42.3,0.72,0.79,0.84,0.6,0.11,90
Track_216,Arijit Singh,Classical,0.62,0.81,-31.47,0.11,0.8,0.65,0.97,0.81,196
Track_217,Adele,Electronic,0.23,0.44,-14.58,0.52,0.72,0.34,0.98,0.83,142
Track_218,Justin Bieber,Bollywood,0.89,0.44,-18.65,0.59,0.2,0.78,0.58,0.8,69
Track_219,Shreya Ghoshal,Hip-Hop,0.25,0.29,-8.18,0.17,0.25,0.58,0.0,0.73,99
Track_220,Adele,Bollywood,0.96,0.55,-0.19,0.96,1.0,0.99,0.9,0.79,113
Track_221,Arijit Singh,Bollywood,0.22,0.78,-34.39,0.18,0.1,0.25,0.57,0.67,194
Track_222,The Weeknd,Hip-Hop,0.76,0.95,-53.33,0.18,0.18,0.08,0.37,0.67,63
Track_223,The Weeknd,Classical,0.27,0.68,-58.18,0.92,0.13,0.07,0.83,0.67,65
Track_224,Shreya Ghoshal,Classical,0.93,0.89,-16.39,0.47,0.33,0.64,0.4,0.51,132
Track_225,Justin Bieber,Electronic,0.57,0.86,-7.56,0.06,0.21,0.94,0.03,0.36,117
Track_226,Imagine Dragons,Rock,0.31,0.34,-46.76,0.6,0.5,0.0,0.82,0.73,136
Track_227,Neha Kakkar,Electronic,0.47,0.59,-50.49,0.6,0.48,0.73,0.55,0.3,78
Track_228,Justin Bieber,Rock,0.33,0.29,-56.27,0.06,0.9,0.66,0.34,0.54,121
Track_229,Imagine Dragons,Bollywood,0.34,0.75,-10.64,0.97,0.03,0.73,0.25,0.43,130
Track_230,The Weeknd,Hip-Hop,0.96,0.96,-41.32,0.54,0.32,0.36,0.59,0.28,197
Track_231,Atif Aslam,Bollywood,0.56,0.31,-35.9,0.56,0.6,0.82,0.21,0.97,84
Track_232,Arijit Singh,Pop,0.83,0.79,-29.83,0.52,0.6,0.04,0.32,0.26,186
Track_233,Shreya Ghoshal,Classical,0.71,0.71,-9.63,0.61,0.48,0.76,0.64,0.31,117
Track_234,Arijit Singh,Rock,0.74,0.67,-20.95,0.26,0.82,0.27,0.88,0.16,179
Track_235,Taylor Swift,Electronic,0.31,0.51,-23.1,0.29,0.06,0.48,0.53,0.82,170
Track_236,Taylor Swift,Hip-Hop,0.39,0.48,-49.46,0.51,0.82,0.82,0.76,0.59,135
Track_237,Justin Bieber,Rock,0.83,0.24,-29.21,0.81,0.49,0.27,0.76,0.61,129
Track_238,The Weeknd,Electronic,0.98,0.37,-17.08,0.05,0.13,0.19,0.66,0.82,197
Track_239,The Weeknd,Classical,0.41,0.21,-1.6,0.6,0.89,0.68,0.25,0.34,125
Track_240,Neha Kakkar,Bollywood,0.42,0.67,-47.92,0.81,0.65,0.53,0.87,0.19,179
Track_241,Neha Kakkar,Classical,0.58,0.28,-59.43,0.16,0.16,0.51,0.44,0.2,146
Track_242,Neha Kakkar,Jazz,0.99,0.9,-55.48,0.02,0.03,0.26,0.04,0.73,198
Track_243,Atif Aslam,Pop,0.42,0.62,-37.45,0.31,0.14,0.03,0.24,0.61,181
Track_244,Adele,Jazz,0.53,0.76,-10.77,0.59,0.61,0.41,0.77,0.21,108
Track_245,Ed Sheeran,Hip-Hop,0.91,0.53,-59.57,0.14,0.18,0.11,0.07,0.15,107
Track_246,Adele,Rock,0.2,0.65,-32.6,0.43,0.23,0.91,0.15,0.12,174
Track_247,Arijit Singh,Hip-Hop,0.23,0.95,-40.25,0.55,0.03,0.04,0.69,0.63,146
Track_248,Adele,Bollywood,0.68,0.27,-56.85,0.6,0.72,0.43,0.89,0.0,66
Track_249,Atif Aslam,Electronic,0.93,0.4,-32.99,0.27,0.81,0.05,0.63,0.02,136
Track_250,Arijit Singh,Classical,0.39,0.82,-44.72,0.4,0.8,0.1,0.22,0.39,180
Track_251,Adele,Jazz,0.58,0.28,-38.89,0.78,0.13,0.66,0.05,0.69,183
Track_252,Atif Aslam,Jazz,0.56,0.26,-17.66,0.94,0.9,0.65,0.62,0.7,200
Track_253,Ed Sheeran,Bollywood,0.58,0.49,-28.71,0.86,0.67,0.03,0.05,0.43,184
Track_254,Adele,Jazz,0.7,0.27,-52.52,0.56,0.9,0.0,0.61,0.69,71
Track_255,Atif Aslam,Bollywood,0.58,0.67,-2.32,0.41,0.45,0.08,0.23,0.52,130
Track_256,Neha Kakkar,Hip-Hop,0.56,0.38,-21.85,0.33,0.44,0.76,0.9,0.98,60
Track_257,The Weeknd,Classical,0.58,0.92,-14.05,0.12,0.78,0.58,0.48,0.16,178
Track_258,Neha Kakkar,Rock,0.67,0.83,-55.25,0.11,0.09,0.04,0.22,0.6,170
Track_259,The Weeknd,Electronic,0.63,0.76,-57.18,0.69,0.52,0.49,0.85,0.49,123
Track_260,Shreya Ghoshal,Rock,0.88,0.69,-58.83,0.26,0.84,0.71,0.25,0.19,102
Track_261,Shreya Ghoshal,Hip-Hop,0.24,0.89,-48.67,0.25,0.83,0.87,0.31,0.75,100
